"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
15/124/СЗО;04.06.2020;147;02.06.2020;Исполнен;Газиян А. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"803 934,57";RUB;20%;НПО РТС;"ПАО ""ЧЕЛЯБИНВЕСТБАНК""";Аванс 50% за поставку и выполнение работ по Договору № 15/575 от 25.05.2020г. ;Аванс по Договору №  15/575 от 25.05.2020г.  по счету на оплату № 41/1 от 26.05.2020г.;БАНК ВТБ (ПАО);11750;Аванс;нет проекта;О/ОРВД;4280;05.06.2020
18/158/СЗО;09.06.2020;146;02.06.2020;Исполнен;Воробьев А. В. (ДРБ);Департамент режима и безопасности;18;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"347 534,79";RUB;20%;ЧОП ТРАСТ-ТВЕРДЬ;ПАО РОСБАНК;ООО ЧОП «ТРАСТ-ТВЕРДЬ» за выполнение работ по договору № 18/1423 от 10.10.2019 г. на оказание охранных услуг объектов АО «Концерн ВКО «Алмаз-Антей» в мае 2020 года.;"Выполнение охранных услуг  по договору № 18/1423 от 10.10.2019 г., счет на оплату № 136 от 25 мая 2020 г ";ВЭБ.РФ;9585;Расчет;нет проекта;Проекты не выясненные;496;09.06.2020
14/133/СЗО;05.06.2020;145;02.06.2020;Исполнен;Инкин А. А. (ДПТП);Департамент производственно-технологической политики;14;"Платежи по выдаче/погашению займов/кредитов, спонсорской поддержке и благотворительности, выплаты по договорам финансирования";"3 296 124,48";RUB;Без НДС;АВАНГАРД;СМОЛЕНСКОЕ ОТДЕЛЕНИЕ N8609 ПАО СБЕРБАНК;Аванс по договору подряда  № 42-09/1305 от 26.12.2018 ( поставка оборудования п. 2.32) в рамках выполнения договора займа № 14/1055з от 28.09.2017;"Транш по договору беспроцентного займа № 14/1055з от 28.09.2017 г. для закупки оборудования, НДС не облагается";БАНК ВТБ (ПАО);;Аванс;нет проекта;ЗАЙМ_10;4274;05.06.2020
15/151/СЗО;05.06.2020;144;02.06.2020;Исполнен;Туманова К. И. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"2 499 615,69";RUB;20%;НПО АЛМАЗ;БАНК ГПБ (АО);"Аванс 50% на поставку оборудования, включая доставку.  Аванс 50% на разработку проекта, проведение монтажных и пусконаладочных работ, инструктаж, участие в ПСИ оборудования  по договору от 06.05.2020 № Ф51/40920-П";"Аванс 50% на поставку оборудования, вкл доставку  Аванс 50% на разработку проекта,проведение монтажных и пусконаладочных работ,инструктаж,участие в ПСИ по дог №Ф51/40920-П  от 06.05.20сч № 1199 от 13 05 2020г. ";БАНК ВТБ (ПАО);11540;Аванс;Проекта нет;О/ОРВД;4290;08.06.2020
09/126/СЗО;04.06.2020;143;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"8 000,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2961 от 13.12.2019.
Предоставление информации из реестра.
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2961 от 13.12.2019. Предоставление информации из реестра.;БАНК ВТБ (ПАО);12267;Расчет;не проекта;Проекты не выясненные;4292;05.06.2020
09/120/СЗО;04.06.2020;142;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"2 500,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2960 от 13.12.2019.
Предоставление информации из реестра.
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2960 от 13.12.2019. Предоставление информации из реестра.;БАНК ВТБ (ПАО);12266;Расчет;нет проекта;Проекты не выясненные;4295;05.06.2020
09/130/СЗО;04.06.2020;141;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"51 620,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2910 от 03.12.2019.
Предоставление информации из реестра.
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2910 от 03.12.2019. Предоставление информации из реестра.;БАНК ВТБ (ПАО);12265;Расчет;нет проекта;Проекты не выясненные;4289;05.06.2020
09/138/СЗО;05.06.2020;140;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"5 200,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2886 от 28.11.2019.
Зачисление ценных бумаг на л.с. Вл и ДУ.
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2886 от 28.11.2019. Зачисление ценных бумаг на л.с. Вл и ДУ.;БАНК ВТБ (ПАО);12264;Расчет;нет проекта;Проекты не выясненные;4294;05.06.2020
09/121/СЗО;04.06.2020;139;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"30 000,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2388 от 31.10.2019.
Ежемесячный платеж за предоставление электронных информационных услуг по договору № 09/875 от 16.09.2016 (за октябрь 2019г.).
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2388 от 31.10.2019. Ежемесячный платеж за предоставление электронных информационных услуг по договору № 09/875 от 16.09.2016  (за октябрь 2019г.).;БАНК ВТБ (ПАО);5691 от 12.12.2018;Расчет;нет проекта;Проекты не выясненные;4288;05.06.2020
09/127/СЗО;04.06.2020;138;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"30 000,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2386 от 30.09.2019.
Ежемесячный платеж за предоставление электронных информационных услуг по договору № 09/875 от 16.09.2016 (за сентябрь 2019г.).
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2386 от 30.09.2019. Ежемесячный платеж за предоставление электронных информационных услуг по договору № 09/875 от 16.09.2016  (за сентябрь 2019г.).;БАНК ВТБ (ПАО);5691 от 12.12.2018;Расчет;нет проекта;Проекты не выясненные;4291;05.06.2020
09/119/СЗО;04.06.2020;137;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"55 460,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2387 от 16.10.2019.
Абонентская плата за ведение реестра по договору от 05.06.2006 №8 и доп. соглашению от 07.12.2012 № 2/12 (за октябрь 2019г.).
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2387 от 16.10.2019. Абонентская плата за ведение реестра по договору от 05.06.2006 №8 и доп. соглашению от 07.12.2012 № 2/12 (за октябрь 2019г.).;БАНК ВТБ (ПАО);5679 от 12.12.2018;Расчет;нет проекта;Проекты не выясненные;4286;05.06.2020
09/118/СЗО;04.06.2020;136;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"55 460,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 2385 от 30.09.2019.
Абонентская плата за ведение реестра по договору от 05.06.2006 №8 и доп. соглашению от 07.12.2012 № 2/12 (за сентябрь 2019г.).
{Счет предоставлен только сейчас. Проведение оплаты предварительно согласовано с главным бухгалтером А.В.Ивановым}";По счету № 2385 от 30.09.2019. Абонентская плата за ведение реестра по договору от 05.06.2006 №8 и доп. соглашению от 07.12.2012 № 2/12 (за сентябрь 2019г.).;БАНК ВТБ (ПАО);5679 от 12.12.2018;Расчет;нет проекта;Проекты не выясненные;4287;05.06.2020
15/161/СЗО;10.06.2020;135;01.06.2020;Исполнен;Зайцева М. С. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"411 100,90";RUB;20%;НПО РТС;"ПАО ""ЧЕЛЯБИНВЕСТБАНК""";Счет № 135/3 от 23.04.2020 Аванс 30% по этапу № 2 (Подготовка площадки к проведению монтажных работ) по договору № 1063-17-19/0811-П от 19.12.2019;Счет № 135/3 от 23.04.2020 Аванс 30% по этапу № 2 договора № 1063-17-19/0811-П от 19.12.2019;БАНК ВТБ (ПАО);5423;Аванс;Проекта нет;О/ОРВД;4585;16.06.2020
;;134;01.06.2020;Исполнен;Амфилохиева Ю. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"30 230 845,91";RUB;20%;ВНИИРА;"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";"Договор №1016-17-19 от 30.12.2019 на оснащение МВРЛ ""Аврора-2"" РЛП ""Тарко-Сале"". счет №200286 от 25.05.2020, решение, принятое на совещании 15.05.2020 (Служебная записка №006-223/сз от 21.05.2020).";"Аванс за работы по Договору №1016-17-19 от 30.12.2019 . Счет №200286 от 25.05.2020,";БАНК ВТБ (ПАО);10543;Аванс;Проекта нет;О/ОРВД;4466;10.06.2020
;;133;01.06.2020;Исполнен;Амфилохиева Ю. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"30 230 845,91";RUB;20%;ВНИИРА;"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";" Договор №948-17-19/0807-П от 30.12.2019 на на оснащение МВРЛ ""Аврора-2"" РЛП ""Сургут"", Счет №200287 от 25.05.2020, решение принятое по итогам совещания 15.05.2020, (Служебная записка №006-223/сз от 21.05.2020)";Аванс за работы по Договору №948-17-19/0807-П от 30.12.2019. Счет №200287 от 25.05.2020;БАНК ВТБ (ПАО);10521;Аванс;Проекта нет;О/ОРВД;4467;10.06.2020
09/132/СЗО;04.06.2020;132;01.06.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"13 000,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 1837 от 28.05.2020.
Предоставление информации из реестра.";По счету № 1837 от 28.05.2020. Предоставление информации из реестра.;БАНК ВТБ (ПАО);12263;Расчет;нет проекта;Проекты не выясненные;4293;05.06.2020
25/115/СЗО;04.06.2020;131;01.06.2020;Исполнен;Сергеев В. В. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"272 245,00";RUB;0%;СКАЙСОФТ ВИКТОРИ;"АО ""АЛЬФА-БАНК""";ПО Astra Linux 1.6 и средства разработки счет (договор -оферта) № Sk000005735 от 01.06.2020 года;ПО Astra Linux 1.6 и средства разработки счет (договор -оферта) № Sk000005735 от 01.06.2020 года;БАНК ВТБ (ПАО);12256;Расчет;нет проекта;Проекты не выясненные;4247;04.06.2020
15/144/СЗО;05.06.2020;130;01.06.2020;Исполнен;Калач А. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"2 625 000,00";RUB;Без НДС;НПО РТС;"ПАО ""ЧЕЛЯБИНВЕСТБАНК""";"Передача Прав на использование СПО (Окончательный расчет 50%), договор № 651/19-РТС от 17.10.2019, Счет № 111/2 от 17.12.2019";"Передача Прав на использование СПО (Окончательный расчет 50%), договор № 651/19-РТС от 17.10.2019, Счет № 111/2 от 17.12.2019";БАНК ВТБ (ПАО);8264;Расчет;Проекта нет;О/ОРВД;4291;08.06.2020
15/114/СЗО;04.06.2020;129;01.06.2020;Исполнен;Чернышов А. И. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 516 625,00";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";"Платеж АО ""Азимут"" за выполнение работ по договору от 20.12.2011 № 156 за МиПНР и участие в ПСИ и ЛП оборудования ILS2700/DME/N2700  с МКп-236 на позиции Нальчик, этапы 5.4, 5.5";"Платеж по договору от 20.12.2011 № 156 по счету от 27.12.2019 № 6000001475, счета-фактуры №№ 880, 881, этапы 5.4, 5.5";БАНК ВТБ (ПАО);00;Расчет;проекта нет;О/ОРВД;4246;04.06.2020
15/105/СЗО;02.06.2020;128;01.06.2020;Исполнен;Чернышов А. И. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 182 544,05";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";"Платеж АО ""Азимут"" за выполнение работ по договору от 20.12.2011 № 156 за МиПНР и участие в ПСИ и ЛП оборудования ILS2700/DME/N2700  с МКп-117 на позиции Иркутск, этапы 10.4, 10.5";"Платеж по договору от 20.12.2011 № 156 по счету № 6000001465, счета-фактуры №№ 865, 866, этапы 10.4, 10.5";БАНК ВТБ (ПАО);00;Расчет;Проекта нет;О/ОРВД;4169;02.06.2020
15/109/СЗО;02.06.2020;127;01.06.2020;Исполнен;Чернышов А. И. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 530 000,00";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";"Платеж АО ""Азимут"" за выполнение работ по договору от 19.12.2011 № 155 за МиПНР и участие в ПСИ и ЛП оборудования DME/N2700 на позиции Богородское, этапы 62.4, 62.5";"Платеж по договору от 19.12.2011 № 155 по счету от 17.02.2020 № 6000001540 счета-фактуры №№ 79, 80, этапы 62.4, 62.5";БАНК ВТБ (ПАО);00;Расчет;проекта нет;О/ОРВД;4176;02.06.2020
15/112/СЗО;02.06.2020;126;01.06.2020;Исполнен;Чернышов А. И. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 530 000,00";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";"Платеж АО ""Азимут"" за выполнение работ по договору от 19.12.2011 № 155 за МиПНР и участие в ПСИ и ЛП оборудования DME/N2700 на позиции Никольское, этапы 21.4, 21.5";"Платеж по договору от 19.12.2011 № 155 по счету от 18.02.2020 № 6000001543, счета-фактуры №№ 85, 86, этапы 21.4, 21.5";БАНК ВТБ (ПАО);00;Расчет;проекта нет;О/ОРВД;4172;02.06.2020
15/111/СЗО;02.06.2020;125;01.06.2020;Исполнен;Чернышов А. И. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 530 000,00";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";"Платеж АО ""Азимут"" за выполнение работ по договору от 19.12.2011 № 155 за МиПНР и участие в ПСИ и ЛП оборудования DME/N2700 на позиции Жигули, этапы 14.4, 14.5";"Платеж по договору от 19.12.2011 № 155 по счету от 18.02.2020 № 6000001544, счета-фактуры №№ 89, 90, этапы 14.4, 14.5";БАНК ВТБ (ПАО);00;Расчет;проекта нет;О/ОРВД;4171;02.06.2020
15/108/СЗО;02.06.2020;124;01.06.2020;Исполнен;Чернышов А. И. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 530 000,00";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";"Платеж АО ""Азимут"" за выполнение работ по договору от 19.12.2011 № 155 за МиПНР и участие в ПСИ и ЛП оборудования DME/N2700 на позиции Суходол, этапы 12.4, 12.5";"Платеж по договору от 19.12.2011 № 155 по счету от 17.02.2020 № 6000001539, счета-фактуры №№ 77, 78, этапы 12.4, 12.5";БАНК ВТБ (ПАО);00;Расчет;проекта нет;О/ОРВД;4177;02.06.2020
15/110/СЗО;02.06.2020;123;29.05.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"276 985,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 2.1 (Разработка проекта размещения оборудования) договора № 15/419;счет № 145 от 20.03.2020 по договору № 15/419 от 25.10.2019;БАНК ВТБ (ПАО);7556;Расчет;Проекта нет;О/ОРВД;4245;04.06.2020
15/97/СЗО;02.06.2020;122;29.05.2020;Исполнен;Калач Н. А. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"2 550 600,00";RUB;20%;ФИРМА НИТА;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;"Оплата ООО  ""Фирма ""НИТА"" за доработку Магнитофона «Гранит» (зав.№97П003) по бюллетеню Гранит.004БУ для Вологодского центра ОВД» филиала «Аэронавигация Северо-Запада» ФГУП «Госкорпорация по ОрВД»";Оплата по Договору № 86-19Р от 15.10.2019. Счет № 2004/08/001 от 08.04.2020 г.;БАНК ВТБ (ПАО);7912;Расчет;Проекта нет;О/ОРВД;4146;02.06.2020
15/101/СЗО;02.06.2020;121;29.05.2020;Исполнен;Калач Н. А. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 206 350,00";RUB;20%;ФИРМА НИТА;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;"Оплата ООО ""Фирма ""НИТА"" за доработку Магнитофона «Гранит» (зав. № 09313) по бюллетеню Гранит.004БУ Архангельского Центра ОВД в Лешуконском отделении";Оплата по Договору № 112-19Р от 16.09.2019 г. Счет № 2003/02/002 от 02.03.2020 г.;БАНК ВТБ (ПАО);8539;Расчет;Проекта нет;О/ОРВД;4148;02.06.2020
15/98/СЗО;02.06.2020;120;29.05.2020;Исполнен;Калач Н. А. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 003 100,00";RUB;20%;ФИРМА НИТА;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;"Оплата ООО ""Фирма ""НИТА"" за выполнение работ по доработке Магнитофона «Гранит» по бюллетеню Гранит.004БУ Тикси в Тиксинском центре ОВД» филиала «Аэронавигация Северо-Восточной Сибири» ФГУП «Госкорпорация по ОрВД»";Оплата по Договору №  06-19Р от 25.07.2019. Счет № 2003/30/006 от 30.03.2020 г.;БАНК ВТБ (ПАО);6553;Расчет;Проекта нет;О/ОРВД;4149;02.06.2020
15/102/СЗО;02.06.2020;119;29.05.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 877 030,50";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по подэтапам 1.2 и 2.2 (проведение монтажных и пусконаладочных работ) договора № 15/404;счет № 48 от 21.01.2020 по договору № 15/404 от 01.08.2019;БАНК ВТБ (ПАО);7034;Расчет;Проекта нет;О/ОРВД;4244;04.06.2020
15/103/СЗО;02.06.2020;118;29.05.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"13 628 485,91";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по подэтапам 1.1 и 2.1 (поставка оборудования) договора № 15/404;счет № 47 от 21.01.2020 по договору № 15/404 от 01.08.2019;БАНК ВТБ (ПАО);7034;Расчет;Проекта нет;О/ОРВД;4243;04.06.2020
09/100/СЗО;02.06.2020;117;28.05.2020;Исполнен;Смольников Д. В. (ДКП);Дирекция по корпоративной политике;09;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"55 460,00";RUB;Без НДС;ОБОРОНРЕГИСТР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);"По счету № 814 от 02.03.2020.
Абонентская плата за ведение реестра по договору от 05.06.2006 №8 и доп. соглашению от 07.12.2012 № 2/12 (за март).";По счету № 814 от 02.03.2020. Абонентская плата за ведение реестра по договору от 05.06.2006 №8 и доп. соглашению от 07.12.2012 № 2/12 (за март).;БАНК ВТБ (ПАО);10302;Расчет;нет проекта;Проекты не выясненные;4151;02.06.2020
03/92/СЗО;29.05.2020;116;28.05.2020;Исполнен;Щеглов Д. С. (Казначейство);Казначейство;15;"Платежи по пополнению расчётного счёта (перевод с одного расчётного счёта на другой), продаже валюты (конвертация)";"16 274 000,00";RUB;Без НДС;КОНЦЕРН ВКО АЛМАЗ - АНТЕЙ;ПАО СБЕРБАНК;Пополнение отдельного банковского счета;На пополнение отдельного банковского счета Концерна в ПАО Сбербанк;ПАО СБЕРБАНК;;Расчет;;Внутренние перемещения;56;01.06.2020
25/95/СЗО;29.05.2020;115;28.05.2020;Исполнен;Сергеев В. В. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"83 000,00";RUB;20%;ТЕХНОСЕРВИС;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);оплата за поставленное программное обеспечене по доп. соглашению №1 к договору 25/215 от 12.02.2020 счет ЦБ-1083 от 28.05.2020 г.;счет № ЦБ-1083 от 28.05.2020 года;БАНК ВТБ (ПАО);11463;Расчет;нет проекта;Проекты не выясненные;4100;01.06.2020
15/107/СЗО;02.06.2020;114;28.05.2020;Исполнен;Белая Л. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"155 386,96";RUB;20%;"филиал ""Аэронавигация Урала""";ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ЕКАТЕРИНБУРГЕ;"Акт сдачи-приемки выполненных работ по этапу № 1 по договору №30-714/19 от 03.12.2019, счет № 546 от 29.04.2020, П/п № 5432 от 19.05.2020";Возврат излишне уплаченных денежных средств по договору № 30-714/19 от 03.12.2019 по этапу №1;БАНК ВТБ (ПАО);8212;Расчет;Проекта нет;О/ОРВД;4178;02.06.2020
25/122/СЗО;04.06.2020;113;28.05.2020;Исполнен;Сергеев В. В. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"1 520 000,00";RUB;20%;ТЕХНОСЕРВИС;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);оплата за часть поставленного оборудования и программного обеспечения по договору 25/215 от 12.03.2020;по договору 25/215 от 12.03.2020 г. счет № ЦБ-1026 от 25.05.2020 года;БАНК ВТБ (ПАО);10802;Расчет;нет проекта;Проекты не выясненные;4271;05.06.2020
;;112;28.05.2020;Проект;Антипов А. И. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"4 122,00";USD;20%;АСС АЙТИ;"АКБ ""СЛАВИЯ"" (АО)";"Закупка лицензий у ООО ""АСС АйТи"" для оборудования Check Point  по счету №85 от 22.05.2020г.";Оплата за предоставление лицензий для межсетевых экранов Check Point по счету №85 от 22.05.2020г.;БАНК ВТБ (ПАО);12209;Расчет;не проекта;;;
15/90/СЗО;29.05.2020;111;27.05.2020;Исполнен;Белая Л. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"152 282,38";RUB;20%;ВЛАДИМИРСКИЙ ЗАВОД ЭЛЕКТРОПРИБОР;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;"Акт сдачи-приемки выполненных работ по этапу № 1 по договору № 1/ГРА/031/98-19 от 03.12.2019; счет №  664 от 20.04.2020";"договор № 1/ГРА/031/98-19 от 03.12.2019, счет № 664 от 20.05.2020";БАНК ВТБ (ПАО);8213;Расчет;Проекта нет;О/ОРВД;4087;01.06.2020
15/94/СЗО;29.05.2020;110;27.05.2020;Исполнен;Белая Л. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"152 282,38";RUB;20%;ВЛАДИМИРСКИЙ ЗАВОД ЭЛЕКТРОПРИБОР;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;Акт сдачи-приемки выполненных работ по этапу № 1 договора № 1/ГРА/030-98-19 от 03.12.2019+счет №663 от 20.04.2020;"договор № 1/ГРА/030-98-19 от 03.12.2019, счет № 663 от 20.04.2020, расчет за выполненные работы по этапу № 1";БАНК ВТБ (ПАО);8212;Расчет;Проекта нет;О/ОРВД;4099;01.06.2020
